,0,1,2,3,4,5,6,7,8
0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
1,0.0,-49.0,-8.0,-49.0,-8.0,-49.0,-8.0,22.96875,1.0
2,1000.0,426.0,-19720.0,426.0,-19720.0,426.0,-19720.0,23.75,1.0
3,2000.0,1122.0,-19188.0,1351.0,-17692.0,1122.0,-19188.0,23.96875,1.0
4,3000.0,1604.0,-19066.0,1491.0,-17000.0,1604.0,-19066.0,24.1875,1.0
5,4000.0,1785.0,-18788.0,1490.0,-16084.0,1785.0,-18788.0,24.25,1.0
6,5000.0,2402.0,-18115.0,3438.0,-17099.0,2335.0,-16710.0,24.40625,1.0
7,6000.0,2444.0,-17701.0,2377.0,-16739.0,3811.0,-16430.0,24.46875,1.0
8,7000.0,2654.0,-17390.0,2611.0,-16482.0,4166.0,-16259.0,24.53125,1.0
9,8000.0,3016.0,-17295.0,2807.0,-16361.0,4446.0,-16320.0,24.5,1.0
10,9000.0,3382.0,-17025.0,3212.0,-15915.0,4810.0,-16173.0,24.71875,1.0
11,10000.0,3871.0,-16949.0,3187.0,-15735.0,5047.0,-16323.0,24.75,1.0
12,11000.0,3626.0,-17010.0,3295.0,-15928.0,5546.0,-16032.0,24.84375,1.0
13,12000.0,3898.0,-16860.0,3714.0,-15723.0,5960.0,-15846.0,24.875,1.0
14,13000.0,4259.0,-16722.0,3981.0,-15575.0,6213.0,-15837.0,24.84375,1.0
15,14000.0,4382.0,-16718.0,4083.0,-15464.0,6544.0,-15665.0,24.875,1.0
16,15000.0,4638.0,-16590.0,4316.0,-15299.0,6680.0,-15709.0,24.84375,1.0
17,16000.0,4862.0,-16482.0,4537.0,-15212.0,7153.0,-15421.0,24.875,1.0
18,17000.0,5095.0,-16348.0,4804.0,-15143.0,7440.0,-15275.0,24.90625,1.0
19,18000.0,5329.0,-16280.0,4884.0,-15015.0,7772.0,-15099.0,24.84375,1.0
